3,1,2,4,5
Afghanistan,356,356,201,356
Albania,8272,8272,8263,8272
Algeria,295478,295478,87971,295478
Andorra,297,297,297,297
Angola,160,160,157,160
Anguilla,9,9,9,9
Antigua and Barbuda,12,12,9,12
Argentina,410985,410986,375263,410986
Armenia,13449,13449,11405,13449
Aruba,104,104,104,104
Australia,40545,40545,40542,40545
Austria,61566,61566,59969,61566
Azerbaijan,5753,5753,5753,5753
Bahrain,1348,1348,1261,1348
Bangladesh,60255,60256,59080,60256
Barbados,240,240,238,240
Belarus,74564,74564,71996,74564
Belgium,129615,129615,129615,129615
Belize,181,181,172,181
Benin,1302,1302,631,1302
Bermuda,46,46,0,46
Bhutan,259,259,259,259
Bolivia,14194,14194,14194,14194
Bosnia and Herzegovina,13579,13580,12888,13580
Botswana,167,167,167,167
Brazil,1021539,1021540,1020833,1021540
British Virgin Islands,29,29,27,29
Brunei,2077,2077,2077,2077
Bulgaria,67289,67289,67284,67289
Burkina Faso,5978,5978,5817,5978
Burundi,5,5,4,5
Cambodia,2282,2282,2026,2282
Cameroon,11021,11021,6162,11021
Canada,159390,159390,158475,159390
Cape Verde,30,30,30,30
Caribbean Netherlands,2,2,1,2
Cayman Islands,9,9,9,9
Chad,3,3,0,3
Chile,425596,425596,422115,425596
China,4456076,4456076,4435500,4456076
Collectivity of Saint Martin,7,7,7,7
Colombia,414783,414783,408898,414783
Comoros,22,22,22,22
Costa Rica,26690,26690,26362,26690
Croatia,75514,75514,75514,75514
Cuba,18435,18435,0,18435
Curaçao,89,89,89,89
Cyprus,4484,4484,4484,4484
Czech Republic,63983,63983,63983,63983
Côte d'Ivoire,8529,8529,7815,8529
Democratic Republic of the Congo,1144,1144,537,1144
Denmark,10864,10864,10864,10864
Djibouti,211,211,0,211
Dominica,27,27,27,27
Dominican Republic,3856,3856,3831,3856
Ecuador,135175,135175,134990,135175
Egypt,801106,801106,41406,801106
El Salvador,1992,1992,1727,1992
Equatorial Guinea,192,192,0,192
Estonia,8072,8072,7335,8072
Ethiopia,14525,14525,6769,14525
Falkland Islands (Islas Malvinas),2,2,2,2
Faroe Islands,102,102,86,102
Federated States of Micronesia,1,1,0,1
Fiji,509,509,509,509
Finland,20402,20402,19657,20402
