year,month,day,Unnamed: 0,1,2,3,4,5,6,7
2017,1,1,615,615,615,615,615,615,615,615
2017,1,2,1574,1574,1574,1574,1574,1574,1574,1574
2017,1,3,2173,2173,2173,2173,2173,2173,2173,2173
2017,1,4,2558,2558,2558,2558,2558,2557,2557,2557
2017,1,5,3112,3112,3112,3112,3112,3111,3111,3111
2017,1,6,3048,3048,3048,3048,3048,3048,3048,3048
2017,1,7,1743,1743,1743,1743,1743,1743,1743,1743
2017,1,8,2577,2577,2577,2577,2577,2575,2575,2575
2017,1,9,3547,3547,3547,3547,3547,3547,3547,3547
2017,1,10,6225,6225,6225,6225,6225,6222,6222,6222
2017,1,11,4759,4759,4759,4759,4759,4757,4757,4757
2017,1,12,5228,5228,5228,5228,5228,5228,5228,5228
2017,1,13,5453,5453,5453,5453,5453,5452,5452,5452
2017,1,14,6348,6348,6348,6348,6348,5751,5751,5751
2017,1,15,7188,7188,7188,7188,7188,7040,7040,7040
2017,1,16,3507,3507,3507,3507,3507,3506,3506,3506
2017,1,17,3417,3417,3417,3417,3417,3417,3417,3417
2017,1,18,3500,3500,3500,3500,3500,3500,3500,3500
2017,1,19,3117,3117,3117,3117,3117,3116,3116,3116
2017,1,20,3118,3118,3118,3118,3118,3118,3118,3118
2017,1,21,1941,1941,1941,1941,1941,1941,1941,1941
2017,1,22,2047,2047,2047,2047,2047,2047,2047,2047
2017,1,23,3758,3758,3758,3758,3758,3749,3749,3749
2017,1,24,3482,3482,3482,3482,3482,3477,3477,3477
2017,1,25,3111,3111,3111,3111,3111,3088,3088,3088
2017,1,26,2661,2661,2661,2661,2661,2660,2660,2660
2017,1,27,2660,2660,2660,2660,2660,2660,2660,2660
2017,1,28,1561,1561,1561,1561,1561,1561,1561,1561
2017,1,29,1694,1694,1694,1694,1694,1637,1637,1637
2017,1,30,2868,2868,2868,2868,2868,2868,2868,2868
2017,1,31,2628,2628,2628,2628,2628,2628,2628,2628
2017,2,1,3305,3305,3305,3305,3305,3303,3303,3303
2017,2,2,3063,3063,3063,3063,3063,3060,3060,3060
2017,2,3,3406,3406,3406,3406,3406,3406,3406,3406
2017,2,4,2566,2566,2566,2566,2566,2565,2565,2565
2017,2,5,2109,2109,2109,2109,2109,2108,2108,2108
2017,2,6,3737,3737,3737,3737,3737,3735,3735,3735
2017,2,7,3712,3712,3712,3712,3712,3710,3710,3710
2017,2,8,3600,3600,3600,3600,3600,3600,3600,3600
2017,2,9,3911,3911,3911,3911,3911,3910,3910,3910
2017,2,10,3353,3353,3353,3353,3353,3352,3352,3352
2017,2,11,1977,1977,1977,1977,1977,1977,1977,1977
2017,2,12,1879,1879,1879,1879,1879,1879,1879,1879
2017,2,13,3845,3845,3845,3845,3845,3844,3844,3844
2017,2,14,3959,3959,3959,3959,3959,3956,3956,3956
2017,2,15,3996,3996,3996,3996,3996,3995,3995,3995
2017,2,16,3746,3746,3746,3746,3746,3746,3746,3746
2017,2,17,3395,3395,3395,3395,3395,3395,3395,3395
2017,2,18,2171,2171,2171,2171,2171,2171,2171,2171
2017,2,19,2033,2033,2033,2033,2033,2032,2032,2032
2017,2,20,802,802,802,802,802,802,802,802
2017,2,21,2793,2793,2793,2793,2793,2793,2793,2793
2017,2,22,3272,3272,3272,3272,3272,3272,3272,3272
2017,2,23,3793,3793,3793,3793,3793,3793,3793,3793
2017,2,24,3656,3656,3656,3656,3656,3656,3656,3656
2017,2,25,2321,2321,2321,2321,2321,2321,2321,2321
2017,2,26,2176,2176,2176,2176,2176,2175,2175,2175
2017,2,27,3815,3815,3815,3815,3815,3814,3814,3814
2017,2,28,3559,3559,3559,3559,3559,3559,3559,3559
2017,3,1,4117,4117,4117,4117,4117,4117,4117,4117
2017,3,2,3881,3881,3881,3881,3881,3881,3881,3881
2017,3,3,3359,3359,3359,3359,3359,3357,3357,3357
2017,3,4,2101,2101,2101,2101,2101,2098,2098,2098
2017,3,5,1973,1973,1973,1973,1973,1971,1971,1971
2017,3,6,3595,3595,3595,3595,3595,3593,3593,3593
2017,3,7,3175,3175,3175,3175,3175,3175,3175,3175
2017,3,8,3136,3136,3136,3136,3136,3136,3136,3136
2017,3,9,3226,3226,3226,3226,3226,3226,3226,3226
2017,3,10,3230,3230,3230,3230,3230,3230,3230,3230
2017,3,11,2024,2024,2024,2024,2024,2024,2024,2024
2017,3,12,2190,2190,2190,2190,2190,2190,2190,2190
2017,3,13,3342,3342,3342,3342,3342,3342,3342,3342
2017,3,14,3837,3837,3837,3837,3837,3835,3835,3835
2017,3,15,3078,3078,3078,3078,3078,3066,3066,3066
2017,3,16,3313,3313,3313,3313,3313,3311,3311,3311
2017,3,17,2975,2975,2975,2975,2975,2975,2975,2975
2017,3,18,2181,2181,2181,2181,2181,2181,2181,2181
2017,3,19,1866,1866,1866,1866,1866,1866,1866,1866
2017,3,20,2667,2667,2667,2667,2667,2667,2667,2667
2017,3,21,3224,3224,3224,3224,3224,3224,3224,3224
2017,3,22,3673,3673,3673,3673,3673,3673,3673,3673
2017,3,23,3800,3800,3800,3800,3800,3799,3799,3799
2017,3,24,3333,3333,3333,3333,3333,3333,3333,3333
2017,3,25,2085,2085,2085,2085,2085,2085,2085,2085
2017,3,26,2619,2619,2619,2619,2619,2619,2619,2619
2017,3,27,3855,3855,3855,3855,3855,3855,3855,3855
2017,3,28,917,917,917,917,917,917,917,917
2017,3,29,3060,3060,3060,3060,3060,3060,3060,3060
2017,3,30,3479,3479,3479,3479,3479,3479,3479,3479
2017,3,31,3257,3257,3257,3257,3257,3253,3253,3253
2017,4,1,2385,2385,2385,2385,2385,2385,2385,2385
2017,4,2,2115,2115,2115,2115,2115,2115,2115,2115
2017,4,3,3524,3524,3524,3524,3524,3524,3524,3524
2017,4,4,3784,3784,3784,3784,3784,3779,3783,3783
2017,4,5,4120,4120,4120,4120,4120,4114,4119,4119
2017,4,6,4113,4113,4113,4113,4113,4113,4113,4113
2017,4,7,3711,3711,3711,3711,3711,3711,3711,3711
2017,4,8,2424,2424,2424,2424,2424,2424,2424,2424
2017,4,9,2441,2441,2441,2441,2441,2440,2440,2440
2017,4,10,3935,3935,3935,3935,3935,3933,3933,3933
2017,4,11,3968,3968,3968,3968,3968,3967,3967,3967
2017,4,12,3965,3965,3965,3965,3965,3964,3964,3964
2017,4,13,4016,4016,4016,4016,4016,4016,4016,4016
