country,doi
Afghanistan,9204
Albania,80145
Algeria,1186998
American Samoa,130
Andorra,2294
Angola,2868
Anguilla,3
Antarctica,14
Antigua and Barbuda,639
Argentina,1514143
Armenia,60586
Aruba,497
Australia,634438
Austria,508063
Azerbaijan,31155
Bahrain,6722
Bangladesh,361818
Barbados,5090
Belarus,194120
Belgium,763120
Belize,957
Benin,19132
Bermuda,188
Bhutan,8513
Bolivia,81077
Bosnia and Herzegovina,84359
Botswana,7047
Brazil,7003668
British Virgin Islands,4941
Brunei,21106
Bulgaria,244602
Burkina Faso,25018
Burundi,957
Cambodia,46918
Cameroon,95085
Canada,2807248
Cape Verde,665
Caribbean Netherlands,190
Cayman Islands,201
Central African Republic,45
Chad,147
Chile,1653000
China,24915572
Collectivity of Saint Martin,45
Colombia,2041241
Comoros,60
Cook Islands,6
Costa Rica,194551
Croatia,334449
Cuba,92155
Curaçao,712
Cyprus,61171
Czech Republic,389557
Czechia,47655
Côte d'Ivoire,35351
Democratic Republic of the Congo,5942
Denmark,240121
Djibouti,1172
Dominica,198
Dominican Republic,28884
Ecuador,609603
Egypt,1345777
El Salvador,16102
Equatorial Guinea,93
Eritrea,75
Estonia,61673
Ethiopia,158641
Falkland Islands (Islas Malvinas),152
Faroe Islands,358
Federated States of Micronesia,42
Fiji,5437
Finland,166147
France,4207298
French Guiana,5098
French Polynesia,3324
Gabon,5415
Georgia,35053
Germany,2879992
Ghana,112463
Gibraltar,171
Greece,1106265
Greenland,192
Grenada,788
Guadeloupe,7314
Guam,3069
Guatemala,52181
Guernsey,161
Guinea,6904
Guinea-Bissau,190
Guyana,3728
Haiti,1838
Honduras,24705
Hong Kong,1616399
Hungary,599123
Iceland,62606
India,13136463
Indonesia,5377672
Iran,6606649
Iraq,395318
Ireland,328466
Isle of Man,375
Israel,256172
Italy,2676412
Jamaica,14170
Japan,1270531
Jersey,484
Jordan,208526
Kazakhstan,101382
Kenya,103574
Kiribati,8
Kosovo,711
Kuwait,35872
Kyrgyzstan,4676
Laos,6852
Latvia,160966
Lebanon,93910
Lesotho,832
Liberia,15824
Libya,23724
Liechtenstein,1523
Lithuania,224973
Luxembourg,164381
Macau,52921
Macedonia (FYROM),52441
Madagascar,17261
Malawi,6646
Malaysia,2400585
Maldives,3203
Mali,5582
Malta,51027
Marshall Islands,1
Martinique,3949
Mauritania,3847
Mauritius,46593
Mayotte,527
Mexico,3269896
Moldova,92516
Monaco,1161
Mongolia,13815
Montenegro,14642
Montserrat,31
Morocco,965996
Mozambique,7618
Myanmar (Burma),40566
Namibia,4915
Nauru,3
Nepal,145436
Netherlands,2193736
New Caledonia,7803
New Zealand,111395
Nicaragua,21425
Niger,3257
Nigeria,374884
Norfolk Island,2
North Korea,3366
Northern Mariana Islands,84
Norway,157571
Oman,25641
Pakistan,1933543
Palau,8
Palestine,1068
Panama,62154
Papua New Guinea,1319
Paraguay,33025
Peru,1185676
Philippines,1219755
Poland,1109597
Portugal,1712500
Puerto Rico,63080
Qatar,33646
Republic of the Congo,3141
Reunion,19021
Romania,1087535
Russia,4010925
Rwanda,12412
Saint Barthélemy,11
Saint Kitts and Nevis,4620
Saint Lucia,218
Saint Martin,5
Saint Pierre and Miquelon,7
Saint Vincent and the Grenadines,214
Saint-Barthélemy,21
Samoa,57
San Marino,510
Saudi Arabia,269012
Senegal,39030
Serbia,316222
Seychelles,185888
Sierra Leone,783
Singapore,1388577
Sint Maarten,99
Slovakia,347544
Slovenia,222654
Solomon Islands,71
Somalia,4674
South Africa,333070
South Korea,3062215
South Sudan,57
Spain,3088575
Sri Lanka,265527
Sudan,65106
Suriname,3785
Swaziland,707
Sweden,619157
Switzerland,801749
Syria,97798
São Tomé and Príncipe,376
Taiwan,1997610
Tajikistan,1802
Tanzania,66184
Thailand,617308
The Bahamas,1533
The Gambia,1436
Timor-Leste,1011
Togo,3963
Tonga,21
Trinidad and Tobago,9494
Tunisia,1127578
Turkey,2002904
Turkmenistan,1797
Turks and Caicos Islands,320
Tuvalu,1
U.S. Virgin Islands,243
Uganda,54980
Ukraine,799864
United Arab Emirates,124522
United Kingdom,3149610
United States,11986156
Uruguay,144578
Uzbekistan,22477
Vanuatu,331
Venezuela,376655
Vietnam,1146196
Wallis and Futuna,34
Yemen,25379
Zambia,5645
Zimbabwe,20688
Åland Islands,184
